                    H2                    
--------------------------------------------------
Temperature (K) | Phi Result           | Practical Phi       
-----------------------------------------------------------------
100,00          | 70,6240              | 70,6324             
200,00          | 90,8360              | 90,7521             
298,15          | 102,1690             | 102,2113            
300,00          | 102,3450             | 102,3882            
400,00          | 110,5380             | 110,6007            
500,00          | 116,9270             | 116,9660            
600,00          | 122,1690             | 122,1757            
700,00          | 126,6140             | 126,5941            
800,00          | 130,4760             | 130,4369            
900,00          | 133,8920             | 133,8420            
1000,00         | 136,9570             | 136,9029            
1100,00         | 139,7400             | 139,6863            
1200,00         | 142,2920             | 142,2408            
1300,00         | 144,6560             | 144,6036            
1400,00         | 146,8700             | 146,8032            
1500,00         | 148,9670             | 148,8624            
1600,00         | 150,8270             | 150,7993            
1700,00         | 152,5530             | 152,6289            
1800,00         | 154,1670             | 154,3633            
1900,00         | 155,6810             | 156,0130            
2000,00         | 157,5970             | 157,5866            
2100,00         | 159,1000             | 159,0915            
2200,00         | 160,5410             | 160,5340            
2300,00         | 161,9260             | 161,9198            
2400,00         | 163,2550             | 163,2535            
2500,00         | 164,5450             | 164,5394            
2600,00         | 165,7870             | 165,7811            
2700,00         | 166,9880             | 166,9821            
2800,00         | 168,1520             | 168,1451            
2900,00         | 169,2810             | 169,2729            
3000,00         | 170,3760             | 170,3677            
3100,00         | 171,4410             | 171,4317            
3200,00         | 172,4770             | 172,4667            
3300,00         | 173,4860             | 173,4746            
3400,00         | 174,4690             | 174,4569            
3500,00         | 175,4260             | 175,4149            
3600,00         | 176,3630             | 176,3502            
3700,00         | 177,2770             | 177,2637            
3800,00         | 178,1700             | 178,1568            
3900,00         | 179,0440             | 179,0302            
4000,00         | 179,8990             | 179,8852            
4100,00         | 180,7360             | 180,7224            
4200,00         | 181,5560             | 181,5427            
4300,00         | 182,3590             | 182,3468            
4400,00         | 183,1470             | 183,1355            
4500,00         | 183,9230             | 183,9094            
4600,00         | 184,6790             | 184,6692            
4700,00         | 185,4240             | 185,4152            
4800,00         | 186,1560             | 186,1483            
4900,00         | 186,8750             | 186,8687            
5000,00         | 187,5820             | 187,5769            
5100,00         | 188,2780             | 188,2735            
5200,00         | 188,9620             | 188,9589            
5300,00         | 189,6330             | 189,6333            
5400,00         | 190,2970             | 190,2972            
5500,00         | 190,9500             | 190,9510            
5600,00         | 191,5920             | 191,5949            
5700,00         | 192,2250             | 192,2293            
5800,00         | 192,8490             | 192,8545            
5900,00         | 193,4640             | 193,4707            
6000,00         | 194,0710             | 194,0781            
6200,00         | 195,2580             | 195,2680            
6400,00         | 196,4140             | 196,4260            
6600,00         | 197,5400             | 197,5537            
6800,00         | 198,6370             | 198,6526            
7000,00         | 199,7070             | 199,7243            
7200,00         | 200,7510             | 200,7698            
7400,00         | 201,7700             | 201,7905            
7600,00         | 202,7650             | 202,7873            
7800,00         | 203,7380             | 203,7612            
8000,00         | 204,6890             | 204,7131            
8200,00         | 205,6190             | 205,6439            
8400,00         | 206,5280             | 206,5544            
8600,00         | 207,4170             | 207,4451            
8800,00         | 208,3890             | 208,3169            
9000,00         | 209,4270             | 209,1703            
9200,00         | 209,9770             | 210,0058            
9400,00         | 210,7950             | 210,8240            
9600,00         | 211,5960             | 211,6255            
9800,00         | 212,3810             | 212,4105            
10000,00        | 213,1510             | 213,1797            
--------------------------------------------------
